tarefa,versao,N,threads,rep,tempo
C,V1,100000,1,1,-0.000000
C,V1,100000,1,2,-0.000000
C,V1,100000,1,3,0.000000
C,V1,100000,1,4,0.000000
C,V1,100000,1,5,-0.000000
C,V1,500000,1,1,-0.000000
C,V1,500000,1,2,-0.000000
C,V1,500000,1,3,-0.000000
C,V1,500000,1,4,-0.000000
C,V1,500000,1,5,0.000000
C,V1,1000000,1,1,-0.000000
C,V1,1000000,1,2,-0.000000
C,V1,1000000,1,3,-0.000000
C,V1,1000000,1,4,0.000000
C,V1,1000000,1,5,0.000000
C,V2,100000,1,1,0.000000
C,V2,100000,1,2,-0.000000
C,V2,100000,1,3,-0.000000
C,V2,100000,1,4,-0.000000
C,V2,100000,1,5,0.000000
C,V2,500000,1,1,0.000000
C,V2,500000,1,2,0.000000
C,V2,500000,1,3,-0.000000
C,V2,500000,1,4,-0.000000
C,V2,500000,1,5,-0.000000
C,V2,1000000,1,1,0.000000
C,V2,1000000,1,2,0.000000
C,V2,1000000,1,3,0.000000
C,V2,1000000,1,4,-0.000000
C,V2,1000000,1,5,-0.000000
C,V3,100000,1,1,0.000000
C,V3,100000,1,2,0.000000
C,V3,100000,1,3,-0.000000
C,V3,100000,1,4,-0.000000
C,V3,100000,1,5,-0.000000
C,V3,100000,2,1,-0.000000
C,V3,100000,2,2,0.000000
C,V3,100000,2,3,0.000000
C,V3,100000,2,4,-0.000000
C,V3,100000,2,5,0.000000
C,V3,100000,4,1,-0.000000
C,V3,100000,4,2,-0.000000
C,V3,100000,4,3,-0.000000
C,V3,100000,4,4,-0.000000
C,V3,100000,4,5,0.000000
C,V3,100000,8,1,0.000000
C,V3,100000,8,2,0.000000
C,V3,100000,8,3,0.000000
C,V3,100000,8,4,-0.000000
C,V3,100000,8,5,-0.000000
C,V3,100000,16,1,0.000000
C,V3,100000,16,2,0.000000
C,V3,100000,16,3,0.007000
C,V3,100000,16,4,-0.000000
C,V3,100000,16,5,0.003000
C,V3,500000,1,1,0.010000
C,V3,500000,1,2,0.000000
C,V3,500000,1,3,0.000000
C,V3,500000,1,4,0.000000
C,V3,500000,1,5,-0.000000
C,V3,500000,2,1,-0.000000
C,V3,500000,2,2,-0.000000
C,V3,500000,2,3,-0.000000
C,V3,500000,2,4,0.000000
C,V3,500000,2,5,0.000000
C,V3,500000,4,1,-0.000000
C,V3,500000,4,2,-0.000000
C,V3,500000,4,3,0.000000
C,V3,500000,4,4,0.000000
C,V3,500000,4,5,0.000000
C,V3,500000,8,1,0.000000
C,V3,500000,8,2,-0.000000
C,V3,500000,8,3,0.010000
